"Fixture_id","Home_id","Away_id","Referee","Date","Month","Year","Venue_id","Match_Status","League_id","league_round","Season","H_Goals","A_Goals"
592356,39,42,C. Pawson,2,2,2021,600,FT,39,Regular Season - 22,2020,2,1
592361,66,42,C. Kavanagh,6,2,2021,495,FT,39,Regular Season - 23,2020,1,0
592726,42,63,S. Attwell,14,2,2021,494,FT,39,Regular Season - 24,2020,4,2
652264,211,42,C. Çakιr,18,2,2021,910,FT,3,"16th Finals",2020,1,1
592736,42,50,J. Moss,21,2,2021,494,FT,39,Regular Season - 25,2020,0,1
592750,46,42,P. Tierney,28,2,2021,547,FT,39,Regular Season - 26,2020,1,3
592758,44,42,A. Marriner,6,3,2021,512,FT,39,Regular Season - 27,2020,1,1
592766,42,47,M. Oliver,14,3,2021,494,FT,39,Regular Season - 28,2020,2,1
592310,60,42,M. Atkinson,2,1,2021,597,FT,39,Regular Season - 17,2020,0,4
592311,42,52,A. Marriner,14,1,2021,494,FT,39,Regular Season - 18,2020,0,0
592321,42,34,D. Coote,18,1,2021,494,FT,39,Regular Season - 19,2020,3,0
592338,41,42,K. Friend,26,1,2021,585,FT,39,Regular Season - 20,2020,1,3
592341,42,33,M. Oliver,30,1,2021,494,FT,39,Regular Season - 21,2020,0,0
605225,542,530,Juan Martínez,3,1,2021,1470,FT,140,Regular Season - 17,2020,1,2
653370,5258,530,Guillermo Cuadra,6,1,2021,3972,FT,143,"2nd Round",2020,1,0
605074,530,536,Javier Estrada,12,1,2021,1461,FT,140,Regular Season - 1,2020,2,0
605248,545,530,Mario Melero,21,1,2021,1472,FT,140,Regular Season - 19,2020,1,2
605257,530,532,Ricardo De Burgos,24,1,2021,1461,FT,140,Regular Season - 20,2020,3,1
605269,724,530,Jesús Gil,31,1,2021,1463,FT,140,Regular Season - 21,2020,2,4
605277,530,538,Guillermo Cuadra,8,2,2021,1461,FT,140,Regular Season - 22,2020,2,2
605290,715,530,Antonio Mateu,13,2,2021,1479,FT,140,Regular Season - 23,2020,1,2
